,Unnamed: 0,Unnamed: 0.1,Team,Game,Date,Home,Opponent,WINorLOSS,Points,Opp.Points,FieldGoals,FieldGoalsAttempted,FieldGoals.,3PointShots,3PointShotsAttempted,3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls,date,Points-Differential,FieldGoals-Differential,FieldGoalsAttempted-Differential,FieldGoals.-Differential,3PointShots-Differential,3PointShotsAttempted-Differential,3PointShots.-Differential,FreeThrows-Differential,FreeThrowsAttempted-Differential,FreeThrows.-Differential,OffRebounds-Differential,TotalRebounds-Differential,Assists-Differential,Steals-Differential,Blocks-Differential,Turnovers-Differential,TotalFouls-Differential
0,0,1,ATL,1,2014-10-29,Away,TOR,L,102,109,40,80,0.5,13,22,0.591,9,17,0.529,10,42,26,6,8,17,24,37,90,0.411,8,26,0.308,27,33,0.818,16,48,26,13,9,9,22,2014-10-29,-7,3,-10,0.08900000000000002,5,-4,0.283,-18,-16,-0.2889999999999999,-6,-6,0,-7,-1,8,2
1,1,2,ATL,2,2014-11-01,Home,IND,W,102,92,35,69,0.507,7,20,0.35,25,33,0.758,3,37,26,10,6,12,20,31,81,0.383,12,32,0.375,18,21,0.857,11,44,25,5,5,18,26,2014-11-01,10,4,-12,0.124,-5,-12,-0.025000000000000022,7,12,-0.09899999999999998,-8,-7,1,5,1,-6,-6
2,2,3,ATL,3,2014-11-05,Away,SAS,L,92,94,38,92,0.413,8,25,0.32,8,11,0.727,10,37,26,14,5,13,25,31,69,0.449,5,17,0.294,27,38,0.711,11,50,25,7,9,19,15,2014-11-05,-2,7,23,-0.03600000000000003,3,8,0.026000000000000023,-19,-27,0.016000000000000014,-1,-13,1,7,-4,-6,10
3,3,4,ATL,4,2014-11-07,Away,CHO,L,119,122,43,93,0.462,13,33,0.394,20,26,0.769,7,38,28,8,3,19,33,48,97,0.495,6,21,0.28600000000000003,20,27,0.741,11,51,31,6,7,19,30,2014-11-07,-3,-5,-4,-0.032999999999999974,7,12,0.10799999999999998,0,-1,0.028000000000000025,-4,-13,-3,2,-4,0,3
4,4,5,ATL,5,2014-11-08,Home,NYK,W,103,96,33,81,0.407,9,22,0.409,28,36,0.778,12,41,18,10,5,8,17,40,84,0.476,8,21,0.381,8,11,0.727,13,44,26,2,6,15,29,2014-11-08,7,-7,-3,-0.069,1,1,0.02799999999999997,20,25,0.051000000000000045,-1,-3,-8,8,-1,-7,-12
5,5,6,ATL,6,2014-11-10,Away,NYK,W,91,85,27,71,0.38,10,27,0.37,27,28,0.964,9,38,20,7,3,15,16,36,83,0.434,6,26,0.231,7,12,0.583,11,40,23,4,2,15,26,2014-11-10,6,-9,-12,-0.05399999999999999,4,1,0.13899999999999998,20,16,0.381,-2,-2,-3,3,1,0,-10
6,6,7,ATL,7,2014-11-12,Home,UTA,W,100,97,39,76,0.513,9,20,0.45,13,18,0.722,13,46,23,8,4,18,12,43,86,0.5,5,23,0.217,6,12,0.5,8,30,28,12,8,11,17,2014-11-12,3,-4,-10,0.013000000000000012,4,-3,0.233,7,6,0.22199999999999998,5,16,-5,-4,-4,7,-5
7,7,8,ATL,8,2014-11-14,Home,MIA,W,114,103,42,75,0.56,11,28,0.393,19,23,0.826,3,36,33,10,5,13,20,35,74,0.473,10,21,0.476,23,25,0.92,5,32,27,10,3,14,20,2014-11-14,11,7,1,0.08700000000000008,1,7,-0.08299999999999996,-4,-2,-0.09400000000000008,-2,4,6,0,2,-1,0
8,8,9,ATL,9,2014-11-15,Away,CLE,L,94,127,40,90,0.444,3,22,0.136,11,13,0.846,11,37,26,6,8,18,12,49,90,0.544,19,31,0.613,10,13,0.769,12,47,39,12,2,13,14,2014-11-15,-33,-9,0,-0.10000000000000003,-16,-9,-0.477,1,0,0.07699999999999996,-1,-10,-13,-6,6,5,-2
9,9,10,ATL,10,2014-11-18,Home,LAL,L,109,114,41,85,0.482,9,27,0.333,18,23,0.7829999999999999,13,38,22,7,3,10,17,47,87,0.54,6,17,0.353,14,22,0.636,13,44,24,7,0,11,24,2014-11-18,-5,-6,-2,-0.05800000000000005,3,10,-0.019999999999999962,4,1,0.1469999999999999,0,-6,-2,0,3,-1,-7
10,10,11,ATL,11,2014-11-21,Home,DET,W,99,89,38,80,0.475,5,24,0.208,18,26,0.6920000000000001,8,46,20,7,5,9,18,31,83,0.373,4,21,0.19,23,24,0.958,13,45,12,6,3,12,20,2014-11-21,10,7,-3,0.10199999999999998,1,3,0.017999999999999988,-5,2,-0.2659999999999999,-5,1,8,1,2,-3,-2
11,11,12,ATL,12,2014-11-25,Away,WAS,W,106,102,36,85,0.424,7,25,0.28,27,34,0.794,12,43,17,16,6,10,23,36,84,0.429,9,20,0.45,21,29,0.7240000000000001,16,47,25,2,3,20,25,2014-11-25,4,0,1,-0.0050000000000000044,-2,5,-0.16999999999999998,6,5,0.06999999999999995,-4,-4,-8,14,3,-10,-2
12,12,13,ATL,13,2014-11-26,Home,TOR,L,115,126,42,82,0.512,10,24,0.417,21,24,0.875,9,32,31,2,4,13,24,42,82,0.512,14,29,0.483,28,33,0.848,11,36,24,7,7,11,24,2014-11-26,-11,0,0,0.0,-4,-5,-0.066,-7,-9,0.027000000000000024,-2,-4,7,-5,-3,2,0
13,13,14,ATL,14,2014-11-28,Home,NOP,W,100,91,38,76,0.5,5,17,0.294,19,22,0.8640000000000001,11,42,26,6,7,18,14,36,89,0.404,7,24,0.292,12,16,0.75,16,42,23,8,4,12,19,2014-11-28,9,2,-13,0.09599999999999997,-2,-7,0.0020000000000000018,7,6,0.1140000000000001,-5,0,3,-2,3,6,-5
14,14,15,ATL,15,2014-11-29,Home,CHO,W,105,75,40,75,0.5329999999999999,12,23,0.522,13,16,0.813,5,44,31,8,5,12,17,29,88,0.33,5,23,0.217,12,16,0.75,13,38,20,3,4,12,16,2014-11-29,30,11,-13,0.2029999999999999,7,0,0.30500000000000005,1,0,0.06299999999999994,-8,6,11,5,1,0,1
15,15,16,ATL,16,2014-12-02,Home,BOS,W,109,105,43,82,0.524,11,24,0.458,12,14,0.857,4,31,36,8,8,16,14,41,84,0.488,12,23,0.522,11,13,0.846,9,42,33,10,3,21,20,2014-12-02,4,2,-2,0.03600000000000003,-1,1,-0.064,1,1,0.01100000000000001,-5,-11,3,-2,5,-5,-6
16,16,17,ATL,17,2014-12-03,Away,MIA,W,112,102,40,74,0.541,12,25,0.48,20,23,0.87,5,30,25,9,1,16,24,36,64,0.563,6,16,0.375,24,32,0.75,4,30,25,10,5,18,24,2014-12-03,10,4,10,-0.02199999999999991,6,9,0.10499999999999998,-4,-9,0.12,1,0,0,-1,-4,-2,0
17,17,18,ATL,18,2014-12-05,Away,BRK,W,98,75,35,81,0.4320000000000001,13,34,0.382,15,24,0.625,6,46,22,12,4,10,22,30,80,0.375,3,18,0.16699999999999998,12,19,0.632,9,51,16,4,2,17,21,2014-12-05,23,5,1,0.057000000000000106,10,16,0.21500000000000002,3,5,-0.007000000000000006,-3,-5,6,8,2,-7,1
18,18,19,ATL,19,2014-12-07,Home,DEN,W,96,84,36,87,0.414,10,27,0.37,14,19,0.737,11,43,26,9,4,12,15,34,93,0.366,6,35,0.171,10,13,0.769,16,52,25,9,4,14,22,2014-12-07,12,2,-6,0.04799999999999999,4,-8,0.19899999999999998,4,6,-0.03200000000000003,-5,-9,1,0,0,-2,-7
19,19,20,ATL,20,2014-12-08,Away,IND,W,108,92,40,77,0.519,9,21,0.429,19,27,0.7040000000000001,6,47,27,11,7,16,20,37,84,0.44,9,27,0.333,9,17,0.529,8,42,23,6,2,17,22,2014-12-08,16,3,-7,0.07900000000000001,0,-6,0.09599999999999997,10,10,0.17500000000000004,-2,5,4,5,5,-1,-2
20,20,21,ATL,21,2014-12-10,Home,PHI,W,95,79,38,91,0.418,10,30,0.333,9,13,0.6920000000000001,16,52,26,15,1,14,16,30,72,0.417,6,25,0.24,13,22,0.591,7,39,21,10,10,18,18,2014-12-10,16,8,19,0.0010000000000000009,4,5,0.09300000000000003,-4,-9,0.10100000000000009,9,13,5,5,-9,-4,-2
21,21,22,ATL,22,2014-12-12,Home,ORL,W,87,81,29,78,0.3720000000000001,9,29,0.31,20,27,0.741,5,42,24,12,3,12,12,30,77,0.39,9,26,0.34600000000000003,12,16,0.75,9,46,14,3,4,18,27,2014-12-12,6,-1,1,-0.017999999999999905,0,3,-0.03600000000000003,8,11,-0.009000000000000008,-4,-4,10,9,-1,-6,-15
22,22,23,ATL,23,2014-12-13,Away,ORL,L,99,100,35,84,0.417,8,27,0.29600000000000004,21,24,0.875,9,41,24,4,4,10,19,37,74,0.5,10,21,0.476,16,21,0.762,7,36,26,6,6,15,15,2014-12-13,-1,-2,10,-0.08300000000000002,-2,6,-0.17999999999999994,5,3,0.11299999999999999,2,5,-2,-2,-2,-5,4
23,23,24,ATL,24,2014-12-15,Home,CHI,W,93,86,36,83,0.434,7,21,0.333,14,17,0.8240000000000001,5,40,26,10,7,9,17,35,93,0.376,6,29,0.207,10,14,0.7140000000000001,15,57,18,3,6,14,17,2014-12-15,7,1,-10,0.057999999999999996,1,-8,0.12600000000000003,4,3,0.10999999999999999,-10,-17,8,7,1,-5,0
