,Unnamed: 0,Unnamed: 0.1,Team,Game,Date,Home,Opponent,WINorLOSS,Points,Opp.Points,FieldGoals,FieldGoalsAttempted,FieldGoals.,3PointShots,3PointShotsAttempted,3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls,date,Points-Differential,FieldGoals-Differential,FieldGoalsAttempted-Differential,FieldGoals.-Differential,3PointShots-Differential,3PointShotsAttempted-Differential,3PointShots.-Differential,FreeThrows-Differential,FreeThrowsAttempted-Differential,FreeThrows.-Differential,OffRebounds-Differential,TotalRebounds-Differential,Assists-Differential,Steals-Differential,Blocks-Differential,Turnovers-Differential,TotalFouls-Differential
14,2474,1530,ATL,15,2015-11-21,Away,CLE,L,97,109,32,86,0.3720000000000001,11,28,0.393,22,25,0.88,12,38,22,10,4,12,20,41,85,0.482,11,29,0.379,16,19,0.8420000000000001,11,51,27,4,8,14,22,2015-11-21,-12,-9,1,-0.10999999999999988,0,-1,0.014000000000000012,6,6,0.03799999999999992,1,-13,-5,6,-4,-2,-2
15,2475,1630,ATL,16,2015-11-24,Home,BOS,W,121,97,45,80,0.563,12,24,0.5,19,22,0.8640000000000001,6,43,33,8,7,20,25,34,82,0.415,9,21,0.429,20,26,0.769,10,33,23,14,2,16,19,2015-11-24,24,11,-2,0.14799999999999996,3,3,0.07100000000000001,-1,-4,0.09500000000000008,-4,10,10,-6,5,4,6
16,2476,1730,ATL,17,2015-11-25,Away,MIN,L,95,99,31,82,0.378,8,31,0.258,25,35,0.7140000000000001,15,53,14,10,7,14,20,34,82,0.415,9,21,0.429,22,29,0.759,7,45,22,9,4,11,23,2015-11-25,-4,-3,0,-0.03699999999999998,-1,10,-0.17099999999999999,3,6,-0.04499999999999993,8,8,-8,1,3,3,-3
17,2477,1830,ATL,18,2015-11-27,Away,MEM,W,116,101,35,75,0.467,14,39,0.359,32,36,0.889,6,40,25,4,3,10,21,35,80,0.438,12,30,0.4,19,21,0.905,5,37,20,3,1,13,25,2015-11-27,15,0,-5,0.029000000000000026,2,9,-0.041000000000000036,13,15,-0.016000000000000014,1,3,5,1,2,-3,-4
18,2478,1930,ATL,19,2015-11-28,Away,SAS,L,88,108,37,87,0.425,6,26,0.231,8,13,0.615,12,43,28,9,5,18,17,40,85,0.471,9,17,0.529,19,20,0.95,12,49,25,11,9,16,14,2015-11-28,-20,-3,2,-0.045999999999999985,-3,9,-0.29800000000000004,-11,-7,-0.33499999999999996,0,-6,3,-2,-4,2,3
19,2479,2030,ATL,20,2015-11-30,Home,OKC,W,106,100,39,90,0.433,10,28,0.35700000000000004,18,20,0.9,14,51,23,9,8,12,15,37,93,0.398,7,19,0.368,19,22,0.8640000000000001,13,48,19,8,8,11,19,2015-11-30,6,2,-3,0.034999999999999976,3,9,-0.010999999999999954,-1,-2,0.03599999999999992,1,3,4,1,0,1,-4
20,2480,2139,ATL,21,2015-12-02,Home,TOR,L,86,96,33,90,0.3670000000000001,8,27,0.29600000000000004,12,16,0.75,13,43,22,8,7,12,20,36,79,0.456,6,25,0.24,18,24,0.75,8,50,12,10,5,12,18,2015-12-02,-10,-3,11,-0.08899999999999991,2,2,0.05600000000000005,-6,-8,0.0,5,-7,10,-2,2,0,2
21,2481,2232,ATL,22,2015-12-04,Home,LAL,W,100,87,37,74,0.5,10,26,0.385,16,20,0.8,9,43,24,11,9,17,11,32,86,0.3720000000000001,13,27,0.481,10,13,0.769,15,42,19,10,7,16,14,2015-12-04,13,5,-12,0.1279999999999999,-3,-1,-0.09599999999999997,6,7,0.031000000000000028,-6,1,5,1,2,1,-3
22,2482,2330,ATL,23,2015-12-09,Away,DAL,W,98,95,39,81,0.481,6,20,0.3,14,18,0.778,6,47,26,7,7,14,19,36,100,0.36,7,31,0.226,16,19,0.8420000000000001,20,51,18,7,3,9,15,2015-12-09,3,3,-19,0.121,-1,-11,0.07399999999999998,-2,-1,-0.06400000000000006,-14,-4,8,0,4,5,4
23,2483,2430,ATL,24,2015-12-10,Away,OKC,L,94,107,35,78,0.449,10,28,0.35700000000000004,14,23,0.609,5,34,21,9,7,9,19,39,80,0.488,9,17,0.529,20,26,0.769,10,52,24,6,2,14,16,2015-12-10,-13,-4,-2,-0.03899999999999998,1,11,-0.172,-6,-3,-0.16000000000000003,-5,-18,-3,3,5,-5,3
