,Unnamed: 0,Unnamed: 0.1,Team,Game,Date,Home,Opponent,WINorLOSS,Points,Opp.Points,FieldGoals,FieldGoalsAttempted,FieldGoals.,3PointShots,3PointShotsAttempted,3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls,date,Points-Differential,FieldGoals-Differential,FieldGoalsAttempted-Differential,FieldGoals.-Differential,3PointShots-Differential,3PointShotsAttempted-Differential,3PointShots.-Differential,FreeThrows-Differential,FreeThrowsAttempted-Differential,FreeThrows.-Differential,OffRebounds-Differential,TotalRebounds-Differential,Assists-Differential,Steals-Differential,Blocks-Differential,Turnovers-Differential,TotalFouls-Differential
0,7380,1305,ATL,1,2017-10-18,Away,DAL,W,117,111,48,94,0.511,9,18,0.5,12,15,0.8,14,50,20,11,6,13,18,38,86,0.442,17,45,0.378,18,21,0.857,9,41,27,5,4,15,19,2017-10-18,6,10,8,0.069,-8,-27,0.122,-6,-6,-0.05699999999999994,5,9,-7,6,2,-2,-1
1,7381,2305,ATL,2,2017-10-20,Away,CHO,L,91,109,36,95,0.379,7,30,0.233,12,14,0.857,6,38,19,11,4,13,29,37,86,0.43,11,36,0.306,24,30,0.8,12,57,17,5,4,21,18,2017-10-20,-18,-1,9,-0.05099999999999999,-4,-6,-0.07299999999999998,-12,-16,0.05699999999999994,-6,-19,2,6,0,-8,11
2,7382,3305,ATL,3,2017-10-22,Away,BRK,L,104,116,32,94,0.34,7,27,0.259,33,36,0.917,16,48,21,6,2,16,25,41,87,0.471,11,27,0.407,23,34,0.6759999999999999,13,51,27,12,8,18,27,2017-10-22,-12,-9,7,-0.13099999999999995,-4,0,-0.14799999999999996,10,2,0.2410000000000001,3,-3,-6,-6,-6,-2,-2
3,7383,4305,ATL,4,2017-10-23,Away,MIA,L,93,104,36,76,0.474,7,17,0.412,14,18,0.778,6,41,14,9,1,20,17,39,85,0.459,14,37,0.378,12,18,0.667,10,41,21,12,6,19,19,2017-10-23,-11,-3,-9,0.014999999999999958,-7,-20,0.033999999999999975,2,0,0.11099999999999999,-4,0,-7,-3,-5,1,-2
4,7384,5305,ATL,5,2017-10-26,Away,CHI,L,86,91,32,81,0.395,11,28,0.393,11,13,0.846,7,40,22,10,5,10,23,31,86,0.36,7,32,0.219,22,29,0.759,18,62,20,5,4,13,15,2017-10-26,-5,1,-5,0.03500000000000003,4,-4,0.17400000000000002,-11,-16,0.08699999999999997,-11,-22,2,5,1,-3,8
5,7385,6305,ATL,6,2017-10-27,Home,DEN,L,100,105,37,89,0.416,14,33,0.424,12,12,1.0,11,43,23,7,4,12,21,42,91,0.462,4,20,0.2,17,23,0.7390000000000001,11,46,24,8,4,11,12,2017-10-27,-5,-5,-2,-0.04600000000000004,10,13,0.22399999999999998,-5,-11,0.2609999999999999,0,-3,-1,-1,0,1,9
6,7386,7305,ATL,7,2017-10-29,Home,MIL,L,106,117,36,77,0.468,13,29,0.448,21,26,0.8079999999999999,3,31,27,9,2,16,21,44,81,0.5429999999999999,13,26,0.5,16,21,0.762,5,43,30,9,3,14,27,2017-10-29,-11,-8,-4,-0.0749999999999999,0,3,-0.05199999999999999,5,5,0.04599999999999993,-2,-12,-3,0,-1,2,-6
7,7387,8109,ATL,8,2017-11-01,Away,PHI,L,109,119,41,94,0.436,8,23,0.348,19,27,0.7040000000000001,12,49,22,11,4,18,28,46,99,0.465,13,35,0.371,14,25,0.56,15,53,36,10,4,16,26,2017-11-01,-10,-5,-5,-0.029000000000000026,-5,-12,-0.02300000000000002,5,2,0.14400000000000002,-3,-4,-14,1,0,2,2
8,7388,990,ATL,9,2017-11-03,Home,HOU,L,104,119,39,81,0.481,11,33,0.333,15,18,0.833,5,41,16,8,8,18,16,42,89,0.472,16,47,0.34,19,23,0.826,9,44,28,14,4,12,16,2017-11-03,-15,-3,-8,0.009000000000000008,-5,-14,-0.007000000000000006,-4,-5,0.007000000000000006,-4,-3,-12,-6,4,6,0
9,7389,1090,ATL,10,2017-11-05,Away,CLE,W,117,115,41,86,0.477,11,25,0.44,24,34,0.706,11,44,24,4,6,17,20,42,96,0.438,10,36,0.278,21,23,0.913,15,47,27,6,6,13,29,2017-11-05,2,-1,-10,0.03899999999999998,1,-11,0.16199999999999998,3,11,-0.20700000000000007,-4,-3,-3,-2,0,4,-9
10,7390,11129,ATL,11,2017-11-06,Home,BOS,L,107,110,39,81,0.481,13,26,0.5,16,20,0.8,5,36,24,8,4,14,22,39,81,0.481,14,36,0.389,18,22,0.818,7,42,28,3,3,13,21,2017-11-06,-3,0,0,0.0,-1,-10,0.11099999999999999,-2,-2,-0.017999999999999905,-2,-6,-4,5,1,1,1
11,7391,12106,ATL,12,2017-11-10,Away,DET,L,104,111,44,89,0.494,8,24,0.333,8,11,0.727,11,45,28,11,7,15,21,39,89,0.438,12,30,0.4,21,27,0.778,20,51,23,7,5,17,18,2017-11-10,-7,5,0,0.055999999999999994,-4,-6,-0.067,-13,-16,-0.051000000000000045,-9,-6,5,4,2,-2,3
12,7392,1390,ATL,13,2017-11-11,Away,WAS,L,94,113,34,83,0.41,14,33,0.424,12,17,0.706,10,32,19,11,1,24,23,42,78,0.5379999999999999,7,24,0.292,22,28,0.7859999999999999,11,42,22,14,10,23,22,2017-11-11,-19,-8,5,-0.12799999999999995,7,9,0.132,-10,-11,-0.07999999999999996,-1,-10,-3,-3,-9,1,1
13,7393,1490,ATL,14,2017-11-13,Away,NOP,L,105,106,40,87,0.46,17,36,0.472,8,9,0.889,10,36,25,14,1,16,18,41,75,0.547,13,33,0.394,11,17,0.647,7,38,31,10,5,19,13,2017-11-13,-1,-1,12,-0.08700000000000002,4,3,0.07799999999999996,-3,-8,0.242,3,-2,-6,4,-4,-3,5
14,7394,1590,ATL,15,2017-11-15,Home,SAC,W,126,80,50,79,0.633,16,32,0.5,10,16,0.625,9,53,40,9,6,18,23,31,88,0.35200000000000004,6,28,0.214,12,20,0.6,11,29,18,12,2,12,19,2017-11-15,46,19,-9,0.28099999999999997,10,4,0.28600000000000003,-2,-4,0.025000000000000022,-2,24,22,-3,4,6,4
