,Unnamed: 0,Unnamed: 0.1,Team,Game,Date,Home,Opponent,WINorLOSS,Points,Opp.Points,FieldGoals,FieldGoalsAttempted,FieldGoals.,3PointShots,3PointShotsAttempted,3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls,date,Points-Differential,FieldGoals-Differential,FieldGoalsAttempted-Differential,FieldGoals.-Differential,3PointShots-Differential,3PointShotsAttempted-Differential,3PointShots.-Differential,FreeThrows-Differential,FreeThrowsAttempted-Differential,FreeThrows.-Differential,OffRebounds-Differential,TotalRebounds-Differential,Assists-Differential,Steals-Differential,Blocks-Differential,Turnovers-Differential,TotalFouls-Differential
0,4920,1198,ATL,1,2016-10-27,Home,WAS,W,114,99,44,88,0.5,12,26,0.462,14,18,0.778,14,52,28,13,7,21,19,40,94,0.426,6,20,0.3,13,18,0.722,12,40,25,14,4,19,20,2016-10-27,15,4,-6,0.07400000000000001,6,6,0.16200000000000003,1,0,0.05600000000000005,2,12,3,-1,3,2,-1
1,4921,2198,ATL,2,2016-10-29,Away,PHI,W,104,72,42,85,0.494,5,20,0.25,15,23,0.652,6,47,31,11,7,12,14,28,80,0.35,5,18,0.278,11,15,0.733,4,39,16,9,5,20,20,2016-10-29,32,14,5,0.14400000000000002,0,2,-0.028000000000000025,4,8,-0.08099999999999996,2,8,15,2,2,-8,-6
2,4922,3198,ATL,3,2016-10-31,Home,SAC,W,106,95,33,79,0.418,11,30,0.3670000000000001,29,47,0.617,17,43,24,11,6,13,20,36,75,0.48,10,23,0.435,13,19,0.684,6,38,26,10,6,19,34,2016-10-31,11,-3,4,-0.062,1,7,-0.0679999999999999,16,28,-0.06700000000000006,11,5,-2,1,0,-6,-14
3,4923,4198,ATL,4,2016-11-02,Home,LAL,L,116,123,41,85,0.482,11,32,0.344,23,29,0.7929999999999999,10,37,30,10,1,18,19,48,90,0.5329999999999999,9,22,0.409,18,20,0.9,11,42,24,11,9,15,25,2016-11-02,-7,-7,-5,-0.050999999999999934,2,10,-0.065,5,9,-0.1070000000000001,-1,-5,6,-1,-8,3,-6
4,4924,5198,ATL,5,2016-11-04,Away,WAS,L,92,95,32,83,0.386,5,25,0.2,23,36,0.639,10,47,22,12,3,18,24,31,80,0.388,5,20,0.25,28,35,0.8,11,46,13,7,3,19,23,2016-11-04,-3,1,3,-0.0020000000000000018,0,5,-0.04999999999999999,-5,1,-0.16100000000000003,-1,1,9,5,0,-1,1
5,4925,6198,ATL,6,2016-11-05,Home,HOU,W,112,97,45,85,0.529,8,20,0.4,14,24,0.583,13,44,29,17,6,19,13,37,85,0.435,12,36,0.333,11,13,0.846,12,43,22,9,7,26,26,2016-11-05,15,8,0,0.09400000000000003,-4,-16,0.067,3,11,-0.263,1,1,7,8,-1,-7,-13
6,4926,7198,ATL,7,2016-11-08,Away,CLE,W,110,106,41,81,0.506,11,29,0.379,17,24,0.708,11,50,22,1,4,19,21,37,99,0.374,11,42,0.262,21,25,0.84,13,39,21,12,1,6,20,2016-11-08,4,4,-18,0.132,0,-13,0.11699999999999999,-4,-1,-0.132,-2,11,1,-11,3,13,1
7,4927,879,ATL,8,2016-11-09,Home,CHI,W,115,107,42,83,0.506,9,20,0.45,22,27,0.815,13,48,24,8,7,21,20,41,91,0.451,9,27,0.333,16,21,0.762,8,31,24,14,3,13,21,2016-11-09,8,1,-8,0.05499999999999999,0,-7,0.11699999999999999,6,6,0.052999999999999936,5,17,0,-6,4,8,-1
8,4928,960,ATL,9,2016-11-12,Home,PHI,W,117,96,48,95,0.505,13,32,0.406,8,14,0.5710000000000001,15,52,31,10,6,16,14,36,83,0.434,11,29,0.379,13,20,0.65,10,39,21,14,4,19,20,2016-11-12,21,12,12,0.07100000000000001,2,3,0.027000000000000024,-5,-6,-0.07899999999999996,5,13,10,-4,2,-3,-6
9,4929,1060,ATL,10,2016-11-15,Away,MIA,W,93,90,37,80,0.463,6,17,0.353,13,19,0.684,6,35,18,14,4,19,13,36,89,0.404,7,23,0.304,11,14,0.7859999999999999,17,48,13,11,7,23,23,2016-11-15,3,1,-9,0.059,-1,-6,0.04899999999999999,2,5,-0.10199999999999987,-11,-13,5,3,-3,-4,-10
10,4930,1199,ATL,11,2016-11-16,Home,MIL,W,107,100,35,72,0.486,10,32,0.313,27,31,0.871,3,39,29,6,8,16,17,39,98,0.398,8,32,0.25,14,18,0.778,15,47,25,9,2,14,25,2016-11-16,7,-4,-26,0.08799999999999997,2,0,0.063,13,13,0.09299999999999997,-12,-8,4,-3,6,2,-8
11,4931,1262,ATL,12,2016-11-18,Away,CHO,L,96,100,39,84,0.464,7,28,0.25,11,17,0.647,8,49,25,9,6,16,18,37,90,0.411,10,29,0.345,16,24,0.667,8,44,25,11,4,11,16,2016-11-18,-4,2,-6,0.05300000000000005,-3,-1,-0.09499999999999997,-5,-7,-0.020000000000000018,0,5,0,-2,2,5,2
12,4932,1360,ATL,13,2016-11-20,Away,NYK,L,94,104,34,85,0.4,6,21,0.28600000000000003,20,29,0.69,14,48,17,7,6,13,15,42,88,0.477,10,27,0.37,10,14,0.7140000000000001,11,50,21,8,1,15,23,2016-11-20,-10,-8,-3,-0.07699999999999996,-4,-6,-0.08399999999999996,10,15,-0.024000000000000132,3,-2,-4,-1,5,-2,-8
13,4933,1460,ATL,14,2016-11-22,Home,NOP,L,94,112,39,85,0.459,10,29,0.345,6,10,0.6,6,40,22,5,6,15,15,45,86,0.523,11,25,0.44,11,12,0.917,5,40,29,11,9,9,16,2016-11-22,-18,-6,-1,-0.064,-1,4,-0.09500000000000003,-5,-2,-0.31700000000000006,1,0,-7,-6,-3,6,-1
14,4934,1560,ATL,15,2016-11-23,Away,IND,W,96,85,36,85,0.424,5,20,0.25,19,22,0.8640000000000001,17,56,17,11,7,21,18,34,84,0.405,7,27,0.259,10,14,0.7140000000000001,7,37,16,15,5,18,20,2016-11-23,11,2,1,0.01899999999999996,-2,-7,-0.009000000000000008,9,8,0.15000000000000002,10,19,1,-4,2,3,-2
15,4935,1660,ATL,16,2016-11-25,Away,UTA,L,68,95,26,83,0.313,8,25,0.32,8,12,0.667,6,40,11,8,4,14,16,35,80,0.438,10,34,0.294,15,18,0.833,9,55,17,9,9,16,16,2016-11-25,-27,-9,3,-0.125,-2,-9,0.026000000000000023,-7,-6,-0.16599999999999993,-3,-15,-6,-1,-5,-2,0
16,4936,1760,ATL,17,2016-11-27,Away,LAL,L,94,109,39,88,0.443,12,35,0.343,4,10,0.4,7,38,25,5,6,12,19,42,95,0.442,8,20,0.4,17,20,0.85,15,53,20,7,2,9,15,2016-11-27,-15,-3,-7,0.0010000000000000009,4,15,-0.056999999999999995,-13,-10,-0.44999999999999996,-8,-15,5,-2,4,3,4
